URI	MEMENTO
943	0
3	1
1	10
1	109
1	11
1	116
1	123
1	13
1	146
1	15
2	17
2	19
1	196
2	2
1	235
1	24578
1	2469
2	249
1	2692
4	3
1	32
1	3238
1	336
1	34927
1	357
1	385
2	4
1	4053
1	417
1	5
1	52
1	5291
1	54
1	6
1	62
1	66534
1	68206
3	7
2	71
1	72
1	73
1	8
1	88
1	92
